plaque6,,plaque5,,plaque4,,plaque3,,plaquenoire,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2222,73.60699463,2222,66.23814392,2222,70.85730743,2222,72.1400528,2222,5.674720287,
2221,73.62315369,2221,66.20239258,2221,70.88951111,2221,72.13899994,2221,5.66741848,
2220,73.56983185,2220,66.19995117,2220,70.83556366,2220,72.12420654,2220,5.638113022,
2219,73.56285095,2219,66.19326782,2219,70.83640289,2219,72.09785461,2219,5.642351151,
2218,73.57411957,2218,66.1890564,2218,70.81465149,2218,72.12051392,2218,5.629058838,
2217,73.56007385,2217,66.1625061,2217,70.83005524,2217,72.08326721,2217,5.636528492,
2216,73.54924774,2216,66.17436981,2216,70.80516052,2216,72.0920639,2216,5.627745628,
2215,73.56260681,2215,66.16859436,2215,70.80098724,2215,72.09888458,2215,5.639956474,
2214,73.51069641,2214,66.13761902,2214,70.75597382,2214,72.07245636,2214,5.651770592,
2213,73.53092957,2213,66.14342499,2213,70.7789917,2213,72.05850983,2213,5.634170532,
2212,73.55432129,2212,66.16817474,2212,70.77229309,2212,72.07360077,2212,5.657346249,
2211,73.52873993,2211,66.1240921,2211,70.7715683,2211,72.05567169,2211,5.637898922,
2210,73.5141449,2210,66.13605499,2210,70.76202393,2210,72.041008,2210,5.653018951,
2209,73.53190613,2209,66.14627838,2209,70.75320435,2209,72.07614899,2209,5.658055305,
2208,73.53134918,2208,66.14992523,2208,70.75360107,2208,72.04064941,2208,5.637644291,
2207,73.56664276,2207,66.16152191,2207,70.79831696,2207,72.0749054,2207,5.676067352,
2206,73.50486755,2206,66.11193848,2206,70.73934174,2206,72.03174591,2206,5.636931419,
2205,73.52138519,2205,66.13476563,2205,70.74895477,2205,72.0557785,2205,5.668027878,
